thread,3BN,3CN,3BA,3CA
1,1153.63,1168.77,498.57,593.173
2,717.35,738.798,346.985,340.527
4,362.782,393.245,178.983,178.549
8,175.148,218.124,108.183,113.402
16,105.159,119.063,103.342,116.359
32,66.123,80.295,100.009,110.605
