thread,3BN,3CN,3BA,3CA
1,40.903,42.905,27.344,23.26
2,30.892,32.82,26.141,12.144
4,15.156,10.624,23.876,6.818
8,5.299,6.1,12.826,4.471
16,2.587,2.726,4.946,2.449
32,1.588,1.89,3.623,1.817
