thread,3BN,3CN,3BA,3CA
1,,,,18722.745
2,,,17834.742,14654.23
4,25189.3,18635.6,9063.188,9009.339
8,12674.3,11935.8,9014.235,5284
16,8062.28,6356.12,3009.295,2768.274
32,5030.03,4009.23,2307.293,2098.783
