thread,3BN,3CN,3BA,3CA
1,982.821,863.614,349.686,335.993
2,1071.69,477.381,200.533,196.902
4,799.291,271.021,101.593,100.194
8,1487.53,159.971,67.394,61.154
16,582.439,85.982,46.727,51.775
32,517.278,57.344,33.327,42.728
