input,thread number,s=8,s=4,s=2
dns-004.mtx,1,1.586,1.559,1.866
dns-008.mtx,2,3.839,3.286,3.99
dns-016.mtx,4,7.806,7.692,7.68
dns-032.mtx,8,14.66,14.302,12.875
dns-064.mtx,16,68.966,64.358,57.072
dns-128.mtx,20,736.673,427.436,340.745
