input,thread number,s=8,s=4,s=2
dns-004.mtx,1,6,6,16
dns-008.mtx,2,11,12,93
dns-016.mtx,4,16,18,514
dns-032.mtx,8,18,35,3725
dns-064.mtx,16,34,174,28266
dns-128.mtx,20,113,2117,284728
